CustomerID,R_Score,F_Score,M_Score,RFM_Score,Cluster
15664,1.0,1,2,112.0,4
14396,1.0,1,2,112.0,4
15111,1.0,1,3,113.0,4
16885,1.0,1,2,112.0,4
16140,1.0,2,3,123.0,1
13165,1.0,1,3,113.0,4
15485,1.0,1,4,114.0,1
15211,1.0,1,3,113.0,4
17552,1.0,3,3,133.0,1
17329,1.0,1,2,112.0,4
13174,1.0,1,4,114.0,1
12967,1.0,2,3,123.0,1
14784,1.0,1,1,111.0,4
13680,1.0,2,4,124.0,1
17913,1.0,1,2,112.0,4
15497,1.0,1,3,113.0,4
12578,1.0,2,4,124.0,1
15967,1.0,1,2,112.0,4
17674,1.0,1,2,112.0,4
16500,1.0,3,2,132.0,1
14295,1.0,1,1,111.0,4
17950,1.0,2,2,122.0,4
12427,1.0,2,3,123.0,1
14236,1.0,1,2,112.0,4
17540,1.0,1,2,112.0,4
15351,1.0,3,4,134.0,1
13077,1.0,2,3,123.0,1
14520,1.0,1,1,111.0,4
13787,1.0,1,2,112.0,4
16048,1.0,1,1,111.0,4
17082,1.0,1,4,114.0,1
17018,1.0,1,3,113.0,4
18084,1.0,1,1,111.0,4
13396,1.0,2,3,123.0,1
15366,1.0,1,2,112.0,4
18259,1.0,1,4,114.0,1
17418,1.0,1,2,112.0,4
14487,1.0,3,3,133.0,1
17711,1.0,1,2,112.0,4
13894,1.0,2,2,122.0,4
14608,1.0,2,4,124.0,1
14761,1.0,1,1,111.0,4
15951,1.0,1,3,113.0,4
17095,1.0,3,3,133.0,1
12462,1.0,2,3,123.0,1
14470,1.0,1,2,112.0,4
12433,1.0,3,4,134.0,1
17537,1.0,1,3,113.0,4
17796,1.0,2,3,123.0,1
16495,1.0,1,3,113.0,4
17817,1.0,1,2,112.0,4
14653,1.0,3,4,134.0,1
17339,1.0,1,1,111.0,4
15406,1.0,2,2,122.0,4
13473,1.0,1,2,112.0,4
15392,1.0,2,3,123.0,1
14467,1.0,2,2,122.0,4
17771,1.0,1,1,111.0,4
13211,1.0,1,3,113.0,4
12913,1.0,2,4,124.0,1
14157,1.0,1,2,112.0,4
15393,1.0,1,1,111.0,4
13233,1.0,1,2,112.0,4
16212,1.0,1,3,113.0,4
18277,1.0,1,1,111.0,4
14805,1.0,2,2,122.0,4
17830,1.0,1,2,112.0,4
16083,1.0,1,3,113.0,4
16414,1.0,1,1,111.0,4
13502,1.0,1,1,111.0,4
13899,1.0,1,2,112.0,4
17255,1.0,1,2,112.0,4
16833,1.0,2,3,123.0,1
16233,1.0,2,2,122.0,4
16620,1.0,1,1,111.0,4
17250,1.0,1,2,112.0,4
13904,1.0,1,2,112.0,4
13736,1.0,1,3,113.0,4
15626,1.0,1,3,113.0,4
13049,1.0,1,3,113.0,4
15950,1.0,2,4,124.0,1
17189,1.0,1,2,112.0,4
13838,1.0,2,3,123.0,1
13557,1.0,1,2,112.0,4
14379,1.0,1,2,112.0,4
15339,1.0,1,2,112.0,4
17041,1.0,2,3,123.0,1
12820,1.0,2,3,123.0,1
13171,1.0,2,2,122.0,4
13140,1.0,1,2,112.0,4
17019,1.0,2,3,123.0,1
14754,1.0,1,2,112.0,4
15847,1.0,1,2,112.0,4
13421,1.0,1,4,114.0,1
16350,1.0,2,3,123.0,1
16804,1.0,1,2,112.0,4
14205,1.0,2,1,121.0,4
13155,1.0,2,3,123.0,1
13145,1.0,2,2,122.0,4
17080,1.0,1,1,111.0,4
15579,1.0,1,2,112.0,4
13292,1.0,1,2,112.0,4
14440,1.0,2,4,124.0,1
14555,1.0,1,2,112.0,4
13402,1.0,1,2,112.0,4
16835,1.0,1,1,111.0,4
16208,1.0,1,3,113.0,4
15990,1.0,1,3,113.0,4
16950,1.0,1,3,113.0,4
14023,1.0,1,2,112.0,4
17618,1.0,1,3,113.0,4
14075,1.0,1,3,113.0,4
15689,1.0,1,1,111.0,4
14995,1.0,1,1,111.0,4
15197,1.0,2,3,123.0,1
17376,1.0,1,1,111.0,4
14533,1.0,3,4,134.0,1
14229,1.0,2,3,123.0,1
12539,1.0,2,4,124.0,1
16221,1.0,1,3,113.0,4
15121,1.0,1,2,112.0,4
17311,1.0,1,3,113.0,4
17633,1.0,3,3,133.0,1
12842,1.0,1,3,113.0,4
14901,1.0,3,3,133.0,1
17076,1.0,1,3,113.0,4
12849,1.0,1,3,113.0,4
17135,1.0,3,3,133.0,1
12668,1.0,3,4,134.0,1
17827,1.0,2,4,124.0,1
13046,1.0,1,2,112.0,4
14290,1.0,3,4,134.0,1
12865,1.0,1,3,113.0,4
17075,1.0,2,3,123.0,1
17676,1.0,3,3,133.0,1
14775,1.0,1,3,113.0,4
14540,1.0,1,3,113.0,4
14113,1.0,3,3,133.0,1
16933,1.0,2,2,122.0,4
13525,1.0,1,2,112.0,4
16321,1.0,3,1,131.0,1
14851,1.0,1,2,112.0,4
14636,1.0,1,2,112.0,4
17870,1.0,3,4,134.0,1
17786,1.0,1,1,111.0,4
17856,1.0,3,3,133.0,1
17924,1.0,3,4,134.0,1
14644,1.0,2,3,123.0,1
12763,1.0,1,2,112.0,4
16891,1.0,2,3,123.0,1
14912,1.0,1,3,113.0,4
15793,1.0,2,3,123.0,1
17609,1.0,3,3,133.0,1
13705,1.0,1,3,113.0,4
14045,1.0,2,4,124.0,1
17672,1.0,2,4,124.0,1
13666,1.0,1,1,111.0,4
14595,1.0,3,4,134.0,1
18040,1.0,1,2,112.0,4
17348,1.0,2,3,123.0,1
16386,1.0,1,2,112.0,4
16442,1.0,1,2,112.0,4
17436,1.0,1,1,111.0,4
14737,1.0,1,3,113.0,4
15380,1.0,3,4,134.0,1
16441,1.0,1,2,112.0,4
14866,1.0,3,4,134.0,1
16042,1.0,3,3,133.0,1
17744,1.0,3,4,134.0,1
12915,1.0,1,2,112.0,4
18080,1.0,1,3,113.0,4
12370,1.0,2,4,124.0,1
13962,1.0,1,1,111.0,4
17462,1.0,1,3,113.0,4
15426,1.0,3,3,133.0,1
17396,1.0,3,4,134.0,1
15651,1.0,1,2,112.0,4
14437,1.0,1,1,111.0,4
14414,1.0,3,3,133.0,1
17733,1.0,1,3,113.0,4
12356,1.0,1,4,114.0,1
14744,1.0,3,3,133.0,1
13792,1.0,1,1,111.0,4
17259,1.0,1,2,112.0,4
15321,1.0,2,4,124.0,1
15898,1.0,3,3,133.0,1
15365,1.0,3,3,133.0,1
16122,1.0,2,3,123.0,1
12875,1.0,1,2,112.0,4
17742,1.0,1,2,112.0,4
12878,1.0,1,3,113.0,4
16110,1.0,1,3,113.0,4
13846,1.0,2,3,123.0,1
15713,1.0,1,2,112.0,4
16303,1.0,2,4,124.0,1
16539,1.0,2,3,123.0,1
16667,1.0,1,2,112.0,4
16399,1.0,1,2,112.0,4
18210,1.0,3,4,134.0,1
16271,1.0,3,3,133.0,1
15885,1.0,1,2,112.0,4
16185,1.0,1,2,112.0,4
13029,1.0,1,3,113.0,4
14607,1.0,3,4,134.0,1
14297,1.0,3,3,133.0,1
13606,1.0,1,1,111.0,4
12458,1.0,1,3,113.0,4
12527,1.0,1,2,112.0,4
12963,1.0,3,4,134.0,1
18188,1.0,2,4,124.0,1
15889,1.0,1,2,112.0,4
14907,1.0,3,4,134.0,1
13404,1.0,1,1,111.0,4
15858,1.0,2,3,123.0,1
16861,1.0,1,1,111.0,4
15018,1.0,2,2,122.0,4
16549,1.0,3,4,134.0,1
13652,1.0,1,3,113.0,4
15068,1.0,1,2,112.0,4
15443,1.0,3,4,134.0,1
17917,1.0,1,2,112.0,4
17097,1.0,3,3,133.0,1
13890,1.0,3,4,134.0,1
18246,1.0,1,2,112.0,4
13564,1.0,2,2,122.0,4
15587,1.0,2,3,123.0,1
13344,1.0,1,4,114.0,1
17341,1.0,1,3,113.0,4
16518,1.0,1,2,112.0,4
16385,1.0,1,2,112.0,4
14299,1.0,3,4,134.0,1
14473,1.0,1,1,111.0,4
14897,1.0,2,3,123.0,1
17034,1.0,2,3,123.0,1
14147,1.0,1,2,112.0,4
14665,1.0,3,3,133.0,1
14708,1.0,2,3,123.0,1
16551,1.0,1,3,113.0,4
13848,1.0,1,3,113.0,4
14662,1.0,2,3,123.0,1
15414,1.0,1,3,113.0,4
16446,1.0,1,1,111.0,4
17256,1.0,1,1,111.0,4
15067,1.0,1,4,114.0,1
15512,1.0,1,1,111.0,4
14715,1.0,2,3,123.0,1
17624,1.0,1,3,113.0,4
16693,1.0,1,2,112.0,4
17816,1.0,2,1,121.0,4
17838,1.0,3,4,134.0,1
13918,1.0,1,3,113.0,4
13573,1.0,1,2,112.0,4
18270,1.0,1,1,111.0,4
15157,1.0,2,4,124.0,1
17420,1.0,1,2,112.0,4
16532,1.0,1,4,114.0,1
13760,1.0,1,1,111.0,4
16642,1.0,1,3,113.0,4
13939,1.0,2,2,122.0,4
14193,1.0,1,3,113.0,4
13959,1.0,1,2,112.0,4
17928,1.0,1,1,111.0,4
14934,1.0,1,4,114.0,1
15569,1.0,2,3,123.0,1
13544,1.0,1,1,111.0,4
13417,1.0,1,2,112.0,4
18193,1.0,1,1,111.0,4
17158,1.0,1,3,113.0,4
16771,1.0,2,4,124.0,1
17526,1.0,3,3,133.0,1
16778,1.0,1,1,111.0,4
15831,1.0,2,3,123.0,1
17384,1.0,1,2,112.0,4
16136,1.0,1,3,113.0,4
18179,1.0,3,4,134.0,1
17602,1.0,3,4,134.0,1
15123,1.0,1,4,114.0,1
14591,1.0,2,3,123.0,1
14491,1.0,1,2,112.0,4
14741,1.0,3,3,133.0,1
16573,1.0,2,2,122.0,4
13744,1.0,1,3,113.0,4
13495,1.0,3,4,134.0,1
15030,1.0,1,2,112.0,4
16374,1.0,1,2,112.0,4
14442,1.0,2,3,123.0,1
13238,1.0,2,3,123.0,1
17905,1.0,2,3,123.0,1
14128,1.0,1,2,112.0,4
18196,1.0,1,3,113.0,4
14504,1.0,2,3,123.0,1
14240,1.0,1,3,113.0,4
17969,1.0,1,1,111.0,4
17897,1.0,2,2,122.0,4
17288,1.0,3,3,133.0,1
14071,1.0,3,3,133.0,1
16660,1.0,2,3,123.0,1
13362,1.0,2,4,124.0,1
13280,1.0,1,3,113.0,4
16383,1.0,1,3,113.0,4
13764,1.0,1,3,113.0,4
16003,1.0,2,4,124.0,1
17664,1.0,1,2,112.0,4
15329,1.0,2,3,123.0,1
17802,1.0,2,3,123.0,1
15636,1.0,1,3,113.0,4
15514,1.0,3,4,134.0,1
15452,1.0,1,2,112.0,4
15532,1.0,3,3,133.0,1
14538,1.0,1,2,112.0,4
16960,1.0,1,2,112.0,4
15208,1.0,3,3,133.0,1
12596,1.0,1,2,112.0,4
14277,1.0,2,4,124.0,1
13657,1.0,1,2,112.0,4
15384,1.0,1,2,112.0,4
12929,1.0,1,1,111.0,4
16905,1.0,3,4,134.0,1
13883,1.0,3,4,134.0,1
13611,1.0,2,3,123.0,1
14037,1.0,1,1,111.0,4
16253,1.0,1,4,114.0,1
13118,1.0,3,3,133.0,1
12435,1.0,1,4,114.0,1
13169,1.0,1,3,113.0,4
12781,1.0,2,3,123.0,1
13884,1.0,3,3,133.0,1
17894,1.0,3,3,133.0,1
17109,1.0,3,3,133.0,1
16898,1.0,2,2,122.0,4
14853,1.0,1,2,112.0,4
16805,1.0,1,2,112.0,4
17083,1.0,1,3,113.0,4
17864,1.0,1,2,112.0,4
14915,1.0,1,1,111.0,4
12728,1.0,2,3,123.0,1
13035,1.0,1,3,113.0,4
17593,1.0,3,4,134.0,1
15436,1.0,1,3,113.0,4
18189,1.0,1,3,113.0,4
14553,1.0,2,3,123.0,1
17658,1.0,1,2,112.0,4
17411,1.0,2,3,123.0,1
13931,1.0,1,3,113.0,4
14551,1.0,1,1,111.0,4
13365,1.0,1,4,114.0,1
14631,1.0,1,3,113.0,4
12545,1.0,1,3,113.0,4
16094,1.0,3,3,133.0,1
16883,1.0,1,1,111.0,4
17026,1.0,1,1,111.0,4
17180,1.0,3,3,133.0,1
12808,1.0,1,2,112.0,4
14643,1.0,1,3,113.0,4
15145,1.0,2,3,123.0,1
16426,1.0,3,4,134.0,1
18043,1.0,1,2,112.0,4
15244,1.0,1,2,112.0,4
13253,1.0,1,3,113.0,4
15071,1.0,1,3,113.0,4
13258,1.0,1,3,113.0,4
12510,1.0,1,3,113.0,4
14449,1.0,2,3,123.0,1
16730,1.0,2,3,123.0,1
13892,1.0,2,2,122.0,4
16496,1.0,2,3,123.0,1
12604,1.0,1,1,111.0,4
14336,1.0,2,4,124.0,1
12352,1.0,3,3,133.0,1
16080,1.0,1,1,111.0,4
14778,1.0,1,3,113.0,4
15002,1.0,2,4,124.0,1
15179,1.0,3,4,134.0,1
14272,1.0,1,2,112.0,4
16748,1.0,2,3,123.0,1
14597,1.0,1,3,113.0,4
13126,1.0,3,4,134.0,1
15574,1.0,2,3,123.0,1
15227,1.0,2,3,123.0,1
13623,1.0,3,3,133.0,1
14419,1.0,3,3,133.0,1
17685,1.0,3,4,134.0,1
17886,1.0,1,3,113.0,4
15676,1.0,2,4,124.0,1
16770,1.0,3,3,133.0,1
15563,1.0,3,3,133.0,1
13692,1.0,2,3,123.0,1
17373,1.0,2,2,122.0,4
16600,1.0,3,3,133.0,1
15599,1.0,1,3,113.0,4
13196,1.0,2,4,124.0,1
16112,1.0,2,1,121.0,4
13799,1.0,1,3,113.0,4
14593,1.0,1,2,112.0,4
14346,1.0,1,3,113.0,4
16777,1.0,1,1,111.0,4
16454,1.0,1,1,111.0,4
16036,1.0,1,3,113.0,4
14871,1.0,2,2,122.0,4
16639,1.0,2,3,123.0,1
14498,1.0,2,4,124.0,1
15073,1.0,2,2,122.0,4
17783,1.0,1,1,111.0,4
17515,1.0,2,2,122.0,4
17974,1.0,1,3,113.0,4
16808,1.0,1,1,111.0,4
13455,1.0,2,3,123.0,1
14287,1.0,2,1,121.0,4
17262,1.0,2,3,123.0,1
14829,1.0,3,2,132.0,1
13064,1.0,2,3,123.0,1
16384,1.0,1,2,112.0,4
15192,1.0,1,3,113.0,4
14916,1.0,2,3,123.0,1
16191,1.0,3,4,134.0,1
18093,1.0,2,4,124.0,1
13989,1.0,1,3,113.0,4
12348,1.0,2,4,124.0,1
13950,1.0,2,3,123.0,1
12393,1.0,2,3,123.0,1
16043,1.0,2,3,123.0,1
14146,1.0,3,4,134.0,1
15163,1.0,1,2,112.0,4
14173,1.0,2,2,122.0,4
15907,1.0,1,3,113.0,4
13656,1.0,1,2,112.0,4
14794,1.0,3,3,133.0,1
15215,1.0,3,2,132.0,1
15031,1.0,2,3,123.0,1
15754,1.0,2,2,122.0,4
18125,1.0,2,3,123.0,1
12691,1.0,3,3,133.0,1
16882,1.0,1,3,113.0,4
13310,1.0,3,3,133.0,1
16618,1.0,3,4,134.0,1
12775,1.0,3,3,133.0,1
16676,1.0,2,3,123.0,1
14621,1.0,3,4,134.0,1
14133,1.0,2,2,122.0,4
14921,1.0,1,3,113.0,4
17115,1.0,2,3,123.0,1
13592,1.0,2,1,121.0,4
16938,1.0,2,4,124.0,1
16726,1.0,2,3,123.0,1
17621,1.0,2,3,123.0,1
16005,1.0,2,2,122.0,4
16038,1.0,2,2,122.0,4
17594,1.0,1,3,113.0,4
15124,1.0,1,1,111.0,4
15882,1.0,2,2,122.0,4
12413,1.0,2,3,123.0,1
15862,1.0,2,3,123.0,1
13249,1.0,1,3,113.0,4
16810,1.0,1,1,111.0,4
16768,1.0,2,2,122.0,4
12942,1.0,1,3,113.0,4
14409,1.0,3,4,134.0,1
15781,1.0,2,2,122.0,4
17820,1.0,1,1,111.0,4
16951,1.0,2,3,123.0,1
14548,1.0,1,3,113.0,4
15863,1.0,1,1,111.0,4
15024,1.0,3,4,134.0,1
16531,1.0,3,3,133.0,1
14446,1.0,2,3,123.0,1
17360,1.0,1,2,112.0,4
13601,1.0,1,3,113.0,4
18116,1.0,3,3,133.0,1
13516,1.0,1,3,113.0,4
14443,1.0,3,3,133.0,1
17236,1.0,3,3,133.0,1
16584,1.0,1,3,113.0,4
13523,1.0,3,4,134.0,1
13614,1.0,2,3,123.0,1
12434,1.0,2,3,123.0,1
13754,1.0,1,1,111.0,4
16852,1.0,1,1,111.0,4
15980,1.0,1,4,114.0,1
16470,1.0,2,3,123.0,1
14798,1.0,1,1,111.0,4
14930,1.0,1,4,114.0,1
17988,1.0,3,1,131.0,1
14129,1.0,2,3,123.0,1
14587,1.0,3,3,133.0,1
18149,1.0,1,2,112.0,4
14044,1.0,2,3,123.0,1
13589,1.0,1,2,112.0,4
14625,1.0,2,3,123.0,1
17157,1.0,1,2,112.0,4
13780,1.0,1,2,112.0,4
16816,1.0,2,2,122.0,4
13158,1.0,2,3,123.0,1
17214,1.0,3,3,133.0,1
12429,1.0,2,4,124.0,1
14978,1.0,2,4,124.0,1
13982,1.0,2,4,124.0,1
12854,1.0,2,3,123.0,1
15034,1.0,3,4,134.0,1
15605,1.0,2,3,123.0,1
18273,1.0,1,1,111.0,4
13124,1.0,1,4,114.0,1
12701,1.0,1,3,113.0,4
14233,1.0,2,3,123.0,1
13758,1.0,3,4,134.0,1
15745,1.0,3,3,133.0,1
14701,1.0,3,4,134.0,1
13168,1.0,2,3,123.0,1
14960,1.0,1,1,111.0,4
16711,1.0,2,4,124.0,1
14984,1.0,1,1,111.0,4
14639,1.0,3,4,134.0,1
13531,1.0,1,2,112.0,4
15184,1.0,1,2,112.0,4
16554,1.0,3,2,132.0,1
17764,1.0,1,3,113.0,4
17155,1.0,1,1,111.0,4
17048,1.0,3,3,133.0,1
14035,1.0,2,3,123.0,1
16244,1.0,1,3,113.0,4
17797,1.0,1,3,113.0,4
14896,1.0,1,2,112.0,4
12654,1.0,2,2,122.0,4
17423,1.0,2,3,123.0,1
14441,1.0,3,3,133.0,1
16927,1.0,1,2,112.0,4
15026,1.0,1,2,112.0,4
17702,1.0,3,4,134.0,1
14985,1.0,1,2,112.0,4
17883,1.0,2,3,123.0,1
12758,1.0,1,4,114.0,1
16200,1.0,1,3,113.0,4
13851,1.0,1,4,114.0,1
15732,1.0,1,2,112.0,4
16469,1.0,2,3,123.0,1
15081,1.0,3,2,132.0,1
16121,1.0,1,3,113.0,4
13246,1.0,3,4,134.0,1
12724,1.0,2,3,123.0,1
15364,1.0,1,3,113.0,4
16780,1.0,1,2,112.0,4
14731,1.0,1,2,112.0,4
13389,1.0,1,3,113.0,4
14700,1.0,1,4,114.0,1
17166,1.0,1,1,111.0,4
17146,1.0,1,3,113.0,4
12616,1.0,2,3,123.0,1
16918,1.0,3,3,133.0,1
14293,1.0,2,3,123.0,1
16279,1.0,2,3,123.0,1
14321,1.0,2,3,123.0,1
17134,1.0,1,2,112.0,4
15549,1.0,2,4,124.0,1
16085,1.0,2,3,123.0,1
12422,1.0,1,3,113.0,4
15421,1.0,2,3,123.0,1
14152,1.0,1,2,112.0,4
13487,1.0,1,2,112.0,4
15681,1.0,3,3,133.0,1
18151,1.0,1,3,113.0,4
14565,1.0,3,4,134.0,1
16395,1.0,2,3,123.0,1
15641,1.0,2,4,124.0,1
14421,1.0,1,3,113.0,4
12904,1.0,1,2,112.0,4
15577,1.0,1,1,111.0,4
15186,1.0,1,2,112.0,4
15394,1.0,2,4,124.0,1
15826,1.0,2,4,124.0,1
16892,1.0,3,2,132.0,1
18112,1.0,1,2,112.0,4
17980,1.0,1,3,113.0,4
12951,1.0,3,3,133.0,1
17671,1.0,3,3,133.0,1
14286,1.0,2,4,124.0,1
16031,1.0,1,2,112.0,4
15630,1.0,1,3,113.0,4
17489,1.0,1,2,112.0,4
12990,1.0,1,2,112.0,4
16899,1.0,3,3,133.0,1
15489,1.0,2,3,123.0,1
13000,1.0,1,2,112.0,4
13107,1.0,2,3,123.0,1
16332,1.0,3,3,133.0,1
12394,1.0,1,3,113.0,4
13539,1.0,2,2,122.0,4
16497,1.0,3,4,134.0,1
14105,1.0,1,3,113.0,4
13136,1.0,3,4,134.0,1
12779,1.0,3,4,134.0,1
13627,1.0,3,4,134.0,1
17759,1.0,1,3,113.0,4
14428,1.0,3,3,133.0,1
12465,1.0,1,3,113.0,4
13756,1.0,3,4,134.0,1
17293,1.0,3,4,134.0,1
15757,1.0,1,3,113.0,4
12649,1.0,2,2,122.0,4
13929,1.0,1,3,113.0,4
14655,1.0,2,4,124.0,1
17707,1.0,1,1,111.0,4
16955,1.0,2,2,122.0,4
14628,1.0,1,3,113.0,4
14577,1.0,2,3,123.0,1
15053,1.0,1,3,113.0,4
17092,1.0,2,4,124.0,1
13722,1.0,2,4,124.0,1
13955,1.0,1,2,112.0,4
17787,1.0,2,4,124.0,1
17272,1.0,2,4,124.0,1
14175,1.0,3,4,134.0,1
15407,1.0,2,3,123.0,1
15110,1.0,3,3,133.0,1
15903,1.0,3,4,134.0,1
13831,1.0,3,4,134.0,1
12358,1.0,1,3,113.0,4
15799,1.0,1,3,113.0,4
16634,1.0,1,1,111.0,4
12626,1.0,3,4,134.0,1
15987,1.0,3,3,133.0,1
15850,1.0,1,1,111.0,4
13719,1.0,2,3,123.0,1
16440,1.0,2,4,124.0,1
15809,1.0,3,2,132.0,1
16824,1.0,1,2,112.0,4
14684,1.0,2,3,123.0,1
13548,1.0,1,3,113.0,4
14913,1.0,2,3,123.0,1
12653,1.0,1,4,114.0,1
16825,1.0,1,3,113.0,4
17105,1.0,1,3,113.0,4
17126,1.0,3,3,133.0,1
12933,1.0,2,2,122.0,4
15620,1.0,3,3,133.0,1
16842,1.0,2,3,123.0,1
15048,1.0,2,2,122.0,4
13546,1.0,1,2,112.0,4
15062,1.0,2,3,123.0,1
13122,1.0,1,3,113.0,4
16023,1.0,1,3,113.0,4
13815,1.0,2,4,124.0,1
16979,1.0,3,4,134.0,1
17289,1.0,2,3,123.0,1
15252,1.0,1,3,113.0,4
18087,1.0,2,4,124.0,1
15953,1.0,3,4,134.0,1
15367,1.0,2,4,124.0,1
12863,1.0,1,2,112.0,4
15791,1.0,1,3,113.0,4
13709,1.0,3,4,134.0,1
13311,1.0,1,2,112.0,4
12421,1.0,2,3,123.0,1
14447,1.0,2,3,123.0,1
16655,1.0,3,4,134.0,1
16424,1.0,1,1,111.0,4
17033,1.0,1,3,113.0,4
12886,1.0,1,3,113.0,4
12997,1.0,3,3,133.0,1
17064,1.0,1,3,113.0,4
12782,1.0,3,4,134.0,1
17266,1.0,1,2,112.0,4
14499,1.0,1,3,113.0,4
17932,1.0,1,3,113.0,4
12507,1.0,2,3,123.0,1
13499,1.0,3,3,133.0,1
14651,1.0,1,3,113.0,4
18136,1.0,2,3,123.0,1
18160,1.0,1,2,112.0,4
12541,1.0,1,3,113.0,4
12994,1.0,2,3,123.0,1
16463,1.0,3,3,133.0,1
13015,1.0,2,4,124.0,1
17937,1.0,3,4,134.0,1
17031,1.0,1,2,112.0,4
13867,1.0,1,3,113.0,4
18245,1.0,3,4,134.0,1
13448,1.0,3,4,134.0,1
12597,1.0,2,4,124.0,1
12557,1.0,2,4,124.0,1
18211,1.0,2,2,122.0,4
18287,1.0,1,4,114.0,1
17720,1.0,2,3,123.0,1
13772,1.0,1,3,113.0,4
16616,1.0,1,2,112.0,4
16817,1.0,3,3,133.0,1
16567,1.0,1,3,113.0,4
17414,1.0,1,3,113.0,4
13917,1.0,1,1,111.0,4
12372,1.0,1,3,113.0,4
17929,1.0,2,3,123.0,1
18017,1.0,1,2,112.0,4
13092,1.0,3,2,132.0,1
16018,1.0,1,2,112.0,4
14049,1.0,3,4,134.0,1
17548,1.0,1,1,111.0,4
14001,1.0,2,4,124.0,1
12613,1.0,3,4,134.0,1
14681,1.0,1,2,112.0,4
16638,1.0,3,4,134.0,1
14482,1.0,3,4,134.0,1
18036,1.0,1,2,112.0,4
14649,1.0,2,3,123.0,1
14514,1.0,1,3,113.0,4
15199,1.0,2,3,123.0,1
15674,1.0,3,4,134.0,1
14460,1.0,2,2,122.0,4
13414,1.0,1,3,113.0,4
13869,1.0,2,4,124.0,1
15800,1.0,1,3,113.0,4
16593,1.0,1,2,112.0,4
15312,1.0,2,3,123.0,1
16016,1.0,3,3,133.0,1
13591,1.0,1,3,113.0,4
15164,1.0,1,3,113.0,4
13149,1.0,2,4,124.0,1
17449,1.0,3,4,134.0,1
12876,1.0,1,4,114.0,1
15260,1.0,3,4,134.0,1
14583,1.0,2,3,123.0,1
16128,1.0,2,4,124.0,1
16949,1.0,3,3,133.0,1
17572,1.0,2,1,121.0,4
16150,1.0,3,4,134.0,1
16014,1.0,2,3,123.0,1
15572,1.0,3,4,134.0,1
17007,1.0,3,3,133.0,1
13308,1.0,2,3,123.0,1
15594,1.0,3,4,134.0,1
14047,1.0,3,3,133.0,1
16153,1.0,2,4,124.0,1
17708,1.0,1,1,111.0,4
17522,1.0,2,3,123.0,1
14657,1.0,2,3,123.0,1
13285,1.0,2,4,124.0,1
15027,1.0,3,3,133.0,1
16717,1.0,3,4,134.0,1
16149,1.0,1,1,111.0,4
12826,1.0,3,3,133.0,1
17188,1.0,3,4,134.0,1
17361,1.0,1,2,112.0,4
17739,1.0,3,4,134.0,1
13748,1.0,2,3,123.0,1
14501,1.0,1,1,111.0,4
16735,1.0,3,4,134.0,1
12908,1.0,2,1,121.0,4
17412,1.0,3,3,133.0,1
17631,1.0,1,2,112.0,4
14034,1.0,2,2,122.0,4
13055,1.0,2,3,123.0,1
13001,1.0,3,4,134.0,1
13637,1.0,1,3,113.0,4
15969,1.0,2,2,122.0,4
13634,1.0,2,3,123.0,1
14111,1.0,2,3,123.0,1
17320,1.0,1,3,113.0,4
13207,1.0,1,1,111.0,4
16317,1.0,1,3,113.0,4
